"","Site.Code","Easting","Northing","transformer_count"
"234","USKM",332306.466500736,183600.188257353,1
"235","WALH",382637.290939405,220106.857436369,1
"236","WALP",548591.131573225,316534.880659969,1
"237","WALX",537504.394975964,203626.953894787,2
"238","WARL",559602.470974111,186277.57514374,1
"239","WASF",345794.027007957,407655.296472169,1
"240","WATS",510519.713427749,194991.858421981,1
"241","WBOL",434000.285882925,560799.702258168,1
"242","WBUR",479467.627857733,385528.519223127,1
"243","WFIE",319616.387990518,697437.381310046,1
"244","WGEO",258400.310701411,665586.810843888,1
"245","WHAM",538993.747833552,181994.047217603,1
"246","WHGA",388980.212639184,403599.893044965,1
"247","WHHO",325159.535253649,671442.362145109,1
"248","WHSO",337114.559273098,185541.480284134,3
"249","WIBA",439051.431713473,391184.146740951,1
"250","WIEN",396010.696682596,297707.182057508,1
"251","WILE",430099.786681739,328700.168126161,2
"252","WIMB",526016.997025661,171773.000042786,1
"253","WISD",520981.256111745,183180.663484487,2
"254","WISH",279119.397094243,653955.924444532,3
"255","WIYH",251693.811722685,673141.248874534,3
"256","WLEE",258442.679190578,647452.23301666,1
"257","WLEX",273387.490674156,661714.434981517,1
"258","WMEL",441430.133905301,400754.073223426,1
"259","WTHU",559056.614972485,177072.134345817,1
"260","WWEY",505940.36961401,162688.417556497,3
"261","WYLF",235122.779220443,393816.1696281,1
"262","WYMO",520400.663962479,226740.046498948,1
