node_number,longitude,latitude,Mar-89,11years,22years,33years,55years,110years,1000years,10000years,100000years,1000000years
122,-3.888444444,56.11042778,20.5212422,5.477119545,16.26513657,18.766676,21.55346069,25.05028036,35.56126062,46.30823516,57.05931395,67.81039275
125,-2.13128,53.415,3.785854467,1.010444557,3.000668251,3.46216391,3.976282947,4.621392548,6.560507206,8.54315919,10.52656835,12.5099775
128,1.062026,52.073123,53.17598623,14.19267072,42.14728668,48.6294394,55.85073833,64.91192639,92.14866653,119.9969305,147.8558297,175.7147289
131,-2.55655,56.72038,4.282998177,1.143132214,3.394704356,3.916801833,4.498432986,5.228255876,7.422007542,9.665013688,11.90887643,14.15273918
134,-0.02332,51.6644,11.83152671,3.15783448,9.377668072,10.81993118,12.42665251,14.44274466,20.50285264,26.69902318,32.89756003,39.09609688
137,-1.35202,53.40147,3.070910302,0.81962596,2.434003505,2.808347471,3.22537709,3.748660206,5.321580462,6.929816187,8.538666095,10.147516
140,-1.077,51.33545,14.41925041,3.848497933,11.42869787,13.1864045,15.1445387,17.60157897,24.98711903,32.53848047,40.09272576,47.64697105
143,-5.9358,57.2479,5.724145261,1.52777437,4.536957534,5.234730841,6.012069767,6.98746412,9.919371322,12.9171062,15.9159859,18.9148656
146,-3.8747,58.0199,11.96205892,3.192673527,9.481127902,10.93930288,12.56375049,14.60208533,20.72905191,26.99358216,33.26050484,39.52742751
149,-3.4534,55.9193,13.54855854,3.616110275,10.7385875,12.39015678,14.23005103,16.53872541,23.47829709,30.5736772,37.67176702,44.76985685
152,-2.969,51.11747,6.009539431,1.603946074,4.763160953,5.49572381,6.311819265,7.335844784,10.41393088,13.56112668,16.70952439,19.8579221
155,-3.4875,56.39667,14.07475488,3.756552077,11.15565072,12.87136334,14.78271505,17.18105328,24.39014273,31.76109186,39.13485594,46.50862003
158,0.313,52.2803,24.87050872,6.637938778,19.71236521,22.74408022,26.12149531,30.35943,43.09810456,56.12278998,69.1524495,82.18210903
161,-2.11,52.637,5.634916543,1.503959225,4.466234852,5.153131178,5.918352845,6.878542624,9.764746877,12.71575267,15.66788545,18.62001823
164,-1.961,52.55325,12.84250958,3.427665808,10.17897309,11.74447501,13.48848781,15.67685145,22.25478485,28.98040712,35.70859789,42.43678867
167,-5.50231,55.59024,21.62616846,5.772024362,17.14090112,19.77713105,22.71396473,26.39906384,37.47598732,48.80161174,60.1315614,71.46151107
170,1.096,51.293,40.76397689,10.87990543,32.30952808,37.27865686,42.81440493,49.76058659,70.63989555,91.98799025,113.3442377,134.7004853
174,-2.949,53.268,25.54245289,6.817280676,20.24494816,23.35857317,26.82723827,31.17967224,44.26251661,57.63909919,71.02079026,84.40248134
177,-3.1455,51.4955,8.789520341,2.345922979,6.966573823,8.038016352,9.231633215,10.72936748,15.2313598,19.8344316,24.43926131,29.04409102
181,-2.407,53.4345,12.35303009,3.297023732,9.791011652,11.29684602,12.97438751,15.07934384,21.40656585,27.87584771,34.34760018,40.81935265
184,-4.7277,58.1686,20.1254733,5.371488824,15.95145014,18.40474533,21.13778461,24.56716526,34.87543268,45.41514305,55.95887852,66.50261399
187,-4.19661,55.85696,8.08530113,2.157966872,6.408409675,7.394007883,8.491991777,9.86972709,14.01101833,18.24529053,22.48117979,26.71706906
190,-2.082,53.04094,12.81239297,3.419627684,10.15510267,11.71693337,13.45685633,15.6400881,22.20259578,28.91244597,35.62485865,42.33727133
193,-3.229666667,55.01642778,5.397845032,1.440684839,4.278331972,4.936329282,5.669356637,6.589149431,9.353925656,12.1807771,15.00870811,17.83663913
196,-3.0448,56.4738,3.977169362,1.061506503,3.152304436,3.637121381,4.177220981,4.85493064,6.892036787,8.974880382,11.05851941,13.14215844
199,-4.23901,55.85503,13.8044569,3.684409547,10.94141254,12.62417584,14.49882108,16.85110054,23.92174336,31.15113744,38.38329241,45.61544739
202,-2.487,50.624,28.15684634,7.515062288,22.31711641,25.74943598,29.57313571,34.37106233,48.79299902,63.53873945,78.29011125,93.04148306
205,-0.3226,51.34417,17.42701355,4.651269918,13.81265094,15.9370039,18.30359234,21.27315545,30.19927179,39.32579879,48.45581119,57.5858236
208,-1.38885,53.22458,13.33985149,3.560406363,10.57316629,12.19929419,14.01084602,16.28395671,23.11662864,30.10270887,37.09145707,44.08020527
211,-3.300438889,51.63585833,19.10165951,5.098232924,15.13997533,17.46846762,20.06247298,23.31739577,33.10126577,43.10480485,53.11216428,63.1195237
214,-0.0958,51.5307,15.8142497,4.220823245,12.53437431,14.46213135,16.60970646,19.30445461,27.40451331,35.68643587,43.97152129,52.25660672
217,-2.724516667,57.41145833,12.01275597,3.206204569,9.521310384,10.98566534,12.6169976,14.66397122,20.81690483,27.10798513,33.40146799,39.69495085
220,-2.0986,57.1402,7.371151371,1.967360301,5.842374577,6.740917929,7.741920285,8.997964479,12.77346821,16.63374018,20.49548639,24.3572326
223,-4.1479,55.82231,10.91641995,2.913592485,8.652354453,9.983066045,11.46551587,13.32567383,18.91706413,24.63399326,30.35310568,36.07221809
226,-3.60908,55.40459,4.542538259,1.212403461,3.600415824,4.154151238,4.771027933,5.545076453,7.871764549,10.25069184,12.63052763,15.01036343
229,-3.60355,55.46512,19.74053126,5.268747793,15.64634508,18.05271584,20.73347998,24.09726651,34.20836662,44.54648284,54.88854717,65.23061151
232,-3.8697,55.6162,6.586169954,1.757848761,5.220198306,6.023052423,6.917454303,8.039737664,11.41317391,14.86235112,18.31284556,21.76334
235,-4.01344,55.85142,10.54198593,2.813656044,8.355578046,9.64064613,11.07224782,12.86860222,18.26820741,23.78904544,29.31199187,34.8349383
239,-2.967,55.9666,76.00016126,20.28444304,60.23772782,69.50214747,79.82296937,92.77339686,131.7006794,171.5019639,211.3184484,251.1349329
242,-4.457705556,57.28102778,6.874719765,1.834862705,5.448902886,6.286931225,7.220518169,8.391970418,11.91320188,15.51349262,19.11515831,22.716824
245,-3.893836111,58.50283611,21.94101863,5.856057873,17.39045137,20.06506154,23.04465187,26.78340144,38.02159119,49.51210264,61.00700231,72.50190198
248,-3.074,53.229,18.27536194,4.877694103,14.48505188,16.7128185,19.19461265,22.30873433,31.66937471,41.24018177,50.81464389,60.38910602
251,-4.7692,57.6344,38.01625855,10.14653941,30.13168652,34.76586844,39.92847635,46.40644681,65.87837443,85.78748904,105.7042069,125.6209248
254,-0.78162,53.301,2.532009153,0.675793243,2.006870455,2.31552237,2.659369213,3.090823573,4.387718661,5.713731855,7.04025145,8.366771047
257,-3.273,56.5381,2.260940392,0.603444991,1.792021355,2.067629989,2.374665694,2.759929937,3.917983606,5.102038089,6.286544761,7.471051433
260,-1.4637,52.456,28.54357835,7.618281062,22.6236402,26.1031024,29.97932034,34.84314609,49.46316692,64.41143891,79.36541961,94.31940032
263,-1.1905,51.711,16.03681189,4.280225094,12.71077711,14.66566448,16.84346353,19.57613628,27.79019133,36.18866972,44.59035547,52.99204123
267,-4.4311,55.4469,11.44308118,3.054158368,9.069786146,10.46469774,12.01866817,13.9685692,19.82971538,25.822457,31.81748723,37.81251747
270,-2.153,57.1311,5.062583753,1.351203604,4.012603883,4.629732843,5.317231716,6.179895988,8.772951386,11.4242265,14.07651413,16.72880176
274,-0.415399,53.800702,51.59745165,13.77135985,40.89614018,47.18586954,54.19280347,62.98500923,89.41322397,116.4348094,143.4667143,170.4986193
277,-4.3643,55.8211,4.17421036,1.114096745,3.308479131,3.817315374,4.384173141,5.095458587,7.233489133,9.419523099,11.60639191,13.79326072
281,-5.458544444,55.69688611,6.199034721,1.654522367,4.91335492,5.669017253,6.510846168,7.567161685,10.74230727,13.98874175,17.23641604,20.48409034
285,-2.5394,55.9152,25.60602466,6.834247982,20.29533514,23.41670955,26.8940077,31.2572743,44.37268013,57.78255524,71.19755157,84.6125479
288,-1.228,51.66025,14.8569373,3.965316565,11.7756085,13.58666916,15.60424124,18.13586336,25.74558664,33.5261647,41.30971416,49.09326361
291,-3.98,55.95,26.25079255,7.006336531,20.80637817,24.00634978,27.57120741,32.04434246,45.4899984,59.23753846,72.99032868,86.74311891
294,-3.035,56.3142,21.67302619,5.78453069,17.17804056,19.81998245,22.76317941,26.45626307,37.55718708,48.9073509,60.26184932,71.61634775
297,-3.3087,55.9022,5.455393419,1.456044504,4.323944824,4.988957282,5.729799708,6.659398747,9.453651256,12.31064079,15.1687214,18.02680202
300,-3.4198,57.5565,11.30958086,3.018527131,8.963973787,10.34261169,11.87845277,13.80560535,19.59837267,25.52120016,31.44628957,37.37137899
304,-4.20339,55.83535,12.86798102,3.434464136,10.19916176,11.76776865,13.51524047,15.70794444,22.29892432,29.03788598,35.77942124,42.52095651
308,-3.889583333,56.03883056,18.99210084,5.068991714,15.05313912,17.36827622,19.94740351,23.18365749,32.91141154,42.85757475,52.80753638,62.75749802
311,-4.203794444,55.37269167,16.47303474,4.396652973,13.05652734,15.06459027,17.30162839,20.10863351,28.54612191,37.1730502,45.80327311,54.43349602
315,-4.7063,55.9148,19.86230596,5.301249461,15.7428637,18.1640788,20.86137995,24.24591689,34.41939,44.82127963,55.22714172,65.63300382
318,-3.7792,56.1373,8.556654566,2.283771104,6.78200441,7.825060601,8.987054291,10.44510823,14.8278267,19.3089467,23.79177802,28.27460936
321,-3.209,55.94717,13.04651922,3.482115979,10.34067113,11.93104182,13.70275913,15.92588601,22.60831315,29.44077526,36.27584668,43.1109181
325,-3.7535,58.57589,38.27840008,10.21650498,30.3394599,35.00559687,40.20380361,46.72644298,66.3326395,86.37903763,106.4330914,126.4871453
329,-1.653,52.773,14.86904078,3.968546984,11.78520172,13.59773779,15.61695353,18.15063808,25.76656076,33.55347742,41.34336789,49.13325836
333,-0.9924,53.736,19.2564829,5.139555285,15.26268834,17.61005361,20.22508399,23.50638867,33.36955921,43.45417931,53.5426507,63.6311221
336,-3.5876,55.906453,15.38170995,4.105378385,12.1915433,14.06657375,16.15540996,18.77645333,26.65496517,34.71036667,42.76884451,50.82732236
339,-4.3489,55.9157,4.884371336,1.30363871,3.871352721,4.466757587,5.130055215,5.962352091,8.464127089,11.02207236,13.5809945,16.13991665
342,-3.4298,58.2529,14.70261621,3.924128268,11.65329361,13.44554253,15.44215781,17.94748362,25.47816364,33.17792375,40.88062439,48.58332503
345,-2.95,56.4617,7.724098748,2.061561956,6.122120667,7.063688305,8.112620915,9.428807342,13.38509072,17.43020123,21.47685657,25.52351191
348,-6.531,57.4279,6.727524057,1.795576171,5.332235567,6.15232075,7.065918517,8.212288617,11.65812644,15.18133079,18.70588064,22.2304305
351,-3.583,55.0619,35.0883652,9.365084673,27.81103826,32.08830998,36.85330997,42.8323674,60.80462806,79.18040492,97.56319945,115.945994
354,-2.5727,55.97658,34.46671167,9.199165346,27.31831567,31.51980782,36.20038727,42.07351494,59.72736466,77.77758156,95.83469181,113.8918021
357,-2.841447222,55.80473889,30.10847352,8.035951582,23.86397611,27.53419903,31.62292973,36.75341362,52.17497376,67.94278134,83.71661062,99.49043991
360,-3.4489,56.08953,6.182838641,1.650199633,4.900517907,5.654205937,6.493835425,7.54739113,10.71424108,13.95219368,17.19138284,20.43057201
363,0.9474,50.914,50.02491187,13.35164898,39.64974515,45.74778191,52.54116494,61.06540993,86.68816978,112.8862161,139.0942675,165.3023188
366,-4.332819444,57.27048889,4.340710854,1.158535727,3.440447423,3.969580076,4.55904861,5.29870574,7.522017839,9.795248114,12.06934653,14.34344495
369,-4.94,55.9746,11.99010146,3.200158079,9.503354414,10.96494778,12.59320356,14.63631685,20.77764681,27.05686295,33.3384771,39.62009126
372,-2.19,57.2159,8.198854264,2.188274203,6.49841189,7.497852224,8.611256634,10.0083414,14.20779455,18.50153453,22.79691428,27.09229404
375,-0.29627,51.50171,3.682837747,0.982949395,2.919017199,3.36795512,3.868084486,4.495640038,6.381989532,8.310691661,10.24013036,12.16956905
378,-0.30207,52.21519,12.63323702,3.371810962,10.01310367,11.55309526,13.26868885,15.42139244,21.89213644,28.50816267,35.12671555,41.74526843
382,-2.3277,55.6681,44.69373838,11.92875878,35.42425704,40.87242375,46.94183343,54.55764645,77.44977925,100.85589,124.2709396,147.6859891
385,-0.90636,51.92653,18.45204222,4.92485007,14.62508867,16.87439261,19.38017995,22.52440794,31.97554397,41.63887848,51.30590341,60.97292834
388,-6.413,57.4723,6.930705736,1.849805361,5.493277367,6.338130396,7.279320235,8.460312493,12.01021997,15.63983057,19.2708273,22.90182404
391,-4.073,55.87858,10.93600155,2.918818814,8.667874829,10.00097342,11.48608243,13.34957709,18.95099709,24.6781811,30.40755231,36.13692353
394,-1.13026,53.71376,0,0,0,0,0,0,0,0,0,0
397,-4.1916,55.7849,15.849997,4.230364199,12.56270762,14.49482226,16.64725185,19.34809134,27.4664598,35.76710323,44.07091666,52.3747301
400,-4.1611,55.7395,7.396904653,1.974233852,5.862786628,6.764469305,7.768968958,9.029401511,12.81809607,16.69185504,20.56709339,24.44233174
403,-4.4629,55.8395,9.338161851,2.492355398,7.401427083,8.539749013,9.807871392,11.39909417,16.18210067,21.07249603,25.96475903,30.85702203
406,-3.321172222,57.66490833,15.18112676,4.051842732,12.03256107,13.88314042,15.94473744,18.53160144,26.30737456,34.25773065,42.21112296,50.16451527
409,-1.823393,53.694321,11.35140526,3.029690064,8.997123808,10.38086011,11.92238094,13.8566604,19.67085017,25.61558111,31.56258232,37.50958354
413,-0.343537,51.660537,9.46935717,2.527371429,7.505412493,8.659727132,9.945665836,11.5592443,16.40944904,21.36855139,26.32954761,31.29054384
416,-3.6723,55.437,13.97114866,3.728899577,11.07353243,12.77661545,14.67389744,17.05458117,24.21060351,31.52729407,38.84677885,46.16626364
419,-1.21898,52.59645,13.12395813,3.502784424,10.40204921,12.00185971,13.78409322,16.02041569,22.74250704,29.61552391,36.49116558,43.36680725
421,-4.0073,56.706,24.66924104,6.584220434,19.55284045,22.56002093,25.91010387,30.11374254,42.7493278,55.66860934,68.59282472,81.51704011
424,-4.481,55.9036,6.655476929,1.776346793,5.275131014,6.086433652,6.990247419,8.124340688,11.53327597,15.01874924,18.5055536,21.99235797
427,-3.125219444,55.15855278,23.37024252,6.237517729,18.52325422,21.37208678,24.54576572,28.52805504,40.49829326,52.73728927,64.98095933,77.2246294
430,-3.40333,50.76802,29.20491023,7.79479054,23.14781185,26.7078904,30.67391721,35.65043392,50.60918893,65.90380042,81.20425289,96.50470537
433,-4.160388889,57.33611667,4.252571417,1.135011311,3.370588105,3.888976561,4.46647576,5.191113929,7.369281009,9.596352661,11.82427483,14.05219699
436,-2.666025,55.82499167,24.02472113,6.412198069,19.04199396,21.97060747,25.2331646,29.32697708,41.63243924,54.2141857,66.8007371,79.38728851
439,-4.457705556,57.28102778,7.224704632,1.928273666,5.726300892,6.606992386,7.588107275,8.819196945,12.51969066,16.30326847,20.08829123,23.87331399
442,-4.7894,57.3228,36.62606663,9.775497184,29.02982041,33.49453793,38.46835778,44.70943954,63.46931086,82.65038196,101.8387783,121.0271746
447,-4.7145,57.1366,32.82502114,8.760998143,26.01711175,30.01848183,34.4761197,40.06950331,56.88247913,74.0729427,91.26997128,108.4669999
450,-1.33271,50.82193,23.97277816,6.39833449,19.00082397,21.92310562,25.1786089,29.2635703,41.54242727,54.09697119,66.65630967,79.21564816
454,-1.97212,52.25257,30.98668677,8.270346699,24.56004793,28.33732505,32.54531711,37.82544854,53.6968295,69.92455736,86.15848257,102.3924078
457,-5.181380556,56.36945556,10.91896231,2.914271041,8.654369528,9.985391033,11.46818612,13.32877729,18.92146979,24.63973035,30.36017471,36.08061907
462,-1.27258,53.7201,17.13267626,4.572711295,13.57935921,15.66783244,17.99444988,20.91385792,29.6892147,38.66159726,47.63740635,56.61321545
466,-2.273,56.96094444,21.20518859,5.659664836,16.80723248,19.39214497,22.27180958,25.88517372,36.74647132,47.85162858,58.96102689,70.07042521
469,-2.292,56.921,5.552665717,1.48200648,4.401042847,5.077912798,5.831964802,6.778139041,9.622214421,12.53014546,15.43918703,18.3482286
472,-2.68833,53.37157,8.624751759,2.301946245,6.835978245,7.887335484,9.058576773,10.52823447,14.94583232,19.46261482,23.98112227,28.49962972
475,-4.278133333,55.86244444,14.21364026,3.793620587,11.26573127,12.99837402,14.92858637,17.35059067,24.63081721,32.07450062,39.52102676,46.9675529
478,-0.87978,51.25048,22.43509321,5.987926379,17.78205488,20.51689275,23.5635784,27.38651829,38.87777303,50.62703135,62.38077669,74.13452203
481,-2.16339,55.01232,11.67787624,3.116825169,9.255884709,10.67941782,12.26527342,14.25518353,20.23659174,26.35229553,32.47033489,38.58837426
484,-2.02397,57.68622,17.05165571,4.55108691,13.51514232,15.59373915,17.909354,20.81495613,29.54881418,38.47876628,47.41212871,56.34549115
489,-2.716069,53.309609,24.91187673,6.648979901,19.7451535,22.78191127,26.16494414,30.40992793,43.16979119,56.21614104,69.26747327,82.3188055
492,-5.078256,56.82061,13.08187124,3.491551434,10.36869114,11.96337125,13.73988936,15.96904022,22.66957467,29.52055064,36.37414298,43.22773533
495,-2.769525,55.60803611,4.470932699,1.193291937,3.543661257,4.088667953,4.695820614,5.457667546,7.747679274,10.08910673,12.43142837,14.77375001
498,-3.950083333,55.53543333,22.01340093,5.875376709,17.44782158,20.13125515,23.120675,26.87175852,38.14702248,49.67544055,61.2082613,72.74108206
501,-4.2977,55.798,10.21542267,2.72649631,8.096744006,9.342004029,10.72925843,12.46996645,17.70230594,23.05212279,28.40398273,33.75584267
504,-2.99,56.4572,4.801098483,1.281413185,3.805350658,4.390604563,5.042593737,5.860700918,8.319823561,10.83415884,13.34945433,15.86474983
