,scenario,Inoperability
0,1-in-11,0.005672589367490239
1,1-in-22,0.07507537901827382
2,1-in-33,0.09910503970475049
3,1-in-55,0.12775923332483954
4,1-in-110,0.16492003047757348
5,"1-in-1,000",0.2777517301373191
6,"1-in-10,000",0.3845086113024525
7,"1-in-100,000",0.47082587254754105
8,"1-in-1,000,000",0.5367523252920955
