number,num_trans,lat,lon
212,,55.85696,-4.19661
213,1.0,55.85696,-4.19661
214,,55.5924777777777,-3.97673888888888
215,,55.5924777777777,-3.97673888888888
216,1.0,55.5924777777777,-3.97673888888888
217,,57.15399,-4.9367
218,,57.15399,-4.9367
219,1.0,57.15399,-4.9367
220,,53.04094,-2.082
221,,53.04094,-2.082
222,3.0,53.04094,-2.082
223,,55.01642777777778,-3.2296666666666667
224,,55.01642777777778,-3.2296666666666667
225,1.0,55.01642777777778,-3.2296666666666667
226,,56.4738,-3.0448
227,,56.4738,-3.0448
228,1.0,56.4738,-3.0448
229,,55.85503,-4.23901
230,,55.85503,-4.23901
231,1.0,55.85503,-4.23901
232,,50.624,-2.487
233,,50.624,-2.487
234,1.0,50.624,-2.487
235,,51.34417,-0.3226
236,,51.34417,-0.3226
237,2.0,51.34417,-0.3226
238,,53.22458,-1.38885
239,,53.22458,-1.38885
240,2.0,53.22458,-1.38885
241,,51.63585833333333,-3.300438888888889
242,,51.63585833333333,-3.300438888888889
243,1.0,51.63585833333333,-3.300438888888889
244,,51.5307,-0.0958
245,,51.5307,-0.0958
246,3.0,51.5307,-0.0958
247,,56.2771,-4.922
248,,56.2771,-4.922
249,1.0,56.2771,-4.922
250,,57.1402,-2.0986
251,,57.1402,-2.0986
252,1.0,57.1402,-2.0986
253,,56.71695,-3.77815
254,,56.71695,-3.77815
255,1.0,56.71695,-3.77815
256,,55.82231,-4.1479
257,,55.82231,-4.1479
258,1.0,55.82231,-4.1479
259,,55.40459,-3.60908
260,,55.40459,-3.60908
261,2.0,55.40459,-3.60908
262,,55.46512,-3.60355
263,,55.46512,-3.60355
264,1.0,55.46512,-3.60355
265,,55.6162,-3.8697
266,,55.6162,-3.8697
267,2.0,55.6162,-3.8697
268,,55.85142,-4.01344
269,,55.85142,-4.01344
270,1.0,55.85142,-4.01344
271,,55.9666,-2.967
272,,55.9666,-2.967
273,,55.9666,-2.967
274,2.0,55.9666,-2.967
275,,57.28102777777778,-4.457705555555556
276,,57.28102777777778,-4.457705555555556
277,1.0,57.28102777777778,-4.457705555555556
278,,58.50283611111111,-3.8938361111111113
279,,58.50283611111111,-3.8938361111111113
280,1.0,58.50283611111111,-3.8938361111111113
281,,53.229,-3.074
282,,53.229,-3.074
283,2.0,53.229,-3.074
284,,57.6344,-4.7692
285,,57.6344,-4.7692
286,1.0,57.6344,-4.7692
287,,56.5381,-3.273
288,,56.5381,-3.273
289,1.0,56.5381,-3.273
290,,52.456,-1.4637
291,,52.456,-1.4637
292,2.0,52.456,-1.4637
293,,51.711,-1.1905
294,,51.711,-1.1905
295,3.0,51.711,-1.1905
296,,55.4469,-4.4311
297,,55.4469,-4.4311
298,,55.4469,-4.4311
299,2.0,55.4469,-4.4311
300,,57.1311,-2.153
301,,57.1311,-2.153
