Population,Easting,Northing
<0.15,338386.52540160826,561126.6051000548
0.15-0.3,445737.80015800043,534151.3482060907
<0.15,349383.52948834066,615767.0488290065
0.15-0.3,438572.5643886675,545827.4332369154
<0.15,231747.96876333145,684068.0612427144
0.15-0.3,341800.0552111141,459900.283002018
0.15-0.3,480700.0339773725,370799.8215209958
0.15-0.3,321000.0532138879,145799.46999910127
<0.15,218552.04622011472,651154.5943112654
0.15-0.3,517199.72880748543,416700.02600881434
<0.15,220347.79325739582,653694.1186704901
<0.15,218872.4645430622,651326.0368966147
0.3-0.45,549884.3386203239,172639.39480253472
<0.15,356399.8542647748,489299.7084891775
0.15-0.3,328607.12948565284,183723.73423906422
0.15-0.3,194016.53731658476,59131.17590742221
<0.15,313532.12558767153,684123.4420741071
<0.15,268032.2958589037,841926.2621064181
<0.15,231609.54110590613,717945.3608115487
0.15-0.3,366799.6742171653,185800.48701424903
0.15-0.3,365600.73707693926,304044.97402847704
0.45-0.6,504311.4451681185,183731.6135011688
<0.15,243309.64414168432,664068.3285289973
0.15-0.3,436201.1794194582,381552.5533485677
<0.15,327334.3869383283,666985.7009764471
0.15-0.3,482299.7034559301,411900.07163155096
0.3-0.45,376356.1659307546,404669.98096473725
<0.15,343909.0864811148,850407.0200673454
0.15-0.3,590799.8697534263,166899.9224236536
0.3-0.45,343841.9112959849,397367.1833989723
<0.15,255685.74406171852,670210.0362834382
<0.15,256920.38042981012,733897.716502962
<0.15,249303.10619462695,670583.9338865365
<0.15,223206.72697333188,576169.4597481478
<0.15,219283.51915291965,762008.1100951566
<0.15,245276.88220732543,634510.3990273136
<0.15,243376.96632719645,636081.9153786297
<0.15,231642.1810655245,644417.593694637
0.3-0.45,580800.1373769642,171999.99585350993
<0.15,377099.6844863732,814294.4622846113
0.15-0.3,426648.06807181274,434468.0525522765
0.3-0.45,399194.29800809454,281523.31119308644
0.15-0.3,433732.83887107833,459987.14525945403
<0.15,265211.8076214694,839255.8983322732
<0.15,456158.96293456934,519310.959509325
<0.15,258578.6127030212,904609.785097967
0.3-0.45,506439.47888588335,170543.7535807141
0.45-0.6,240900.21989964924,62899.97963037755
0.15-0.3,329528.3008330789,348321.5043660618
<0.15,338238.84995962935,702137.3276965029
<0.15,306199.7729111229,669007.1620497282
<0.15,285234.8224089169,643489.9273743795
0.15-0.3,338692.25975262455,391746.31445729913
0.3-0.45,555600.1851863763,176399.51692083018
0.3-0.45,467499.78370471275,113499.55811115299
<0.15,347064.93523487146,751734.6726046044
<0.15,337460.163199833,732569.4717830811
0.15-0.3,392057.2475395672,374627.75374072336
<0.15,370800.78051164054,863384.2601929402
0.15-0.3,278507.7458980094,186389.91920055635
<0.15,223708.18835879109,586053.6477747196
0.45-0.6,407499.83090960153,105299.57822807139
<0.15,229804.18816555908,608629.7536946379
0.3-0.45,389699.6524541722,165999.68540956802
<0.15,343600.57845264266,731095.6024274137
0.3-0.45,524099.813298194,192499.63784085575
<0.15,228703.3610446051,808347.2263749037
0.3-0.45,399899.9947872659,189800.5309959519
<0.15,306111.3694097228,605273.9876286438
0.15-0.3,448408.391654206,429233.40543906484
