,scenario,failure,Easting,Northing
3483,1-in-11,0.01389085813759,277200.13688128314,64999.5608485828
3484,1-in-11,0.0006207869211085,320119.1197593152,717092.7878614786
3485,1-in-11,0.0020388234492649,302500.140744223,166099.8355851685
3486,1-in-11,0.0003302122027452,204959.64652637453,705012.5152441239
3487,1-in-11,2.5279496475016927e-05,445172.455415981,394545.2508052285
3488,1-in-11,5.448786018935614e-06,264592.13044615334,870974.2448889274
3489,1-in-11,2.1946328184974107e-05,250201.8225985781,125174.68530834734
3490,1-in-11,0.0377442769527127,493120.09214804287,197102.95928420775
3491,1-in-11,0.000202554252607,200492.2509578475,707499.5741013113
3492,1-in-11,0.0001470098429166,362053.6710624992,741490.2024364459
3493,1-in-11,0.0015947782627241,217547.6625815248,713969.6173379108
3494,1-in-11,0.0003922765741031,215992.390036374,576998.6274036157
3495,1-in-11,0.007566838115097,122255.60219941929,861102.2037804463
3496,1-in-11,4.487002561581743e-05,334961.46948066994,98977.03718193134
3497,1-in-11,0.0022633081549588,236487.59968336392,621156.2989562495
3498,1-in-11,0.0056607422224682,295436.2851374617,668742.111587061
3499,1-in-11,0.0028482492877804,289892.8791645768,681508.8977240298
3500,1-in-11,0.0004150409589038,546906.2017831481,182564.9355988573
3501,1-in-11,0.0009501429268723,250766.34037007243,844658.673161183
3502,1-in-11,0.0,530535.9841526906,165437.70908530726
3503,1-in-11,0.0014667162262498,304241.9381215859,847162.3575533264
3504,1-in-11,0.0,395161.7169499858,653788.8033721175
3505,1-in-11,0.0,426300.2960937422,276499.6899242305
3506,1-in-11,0.0019033154315926,519661.66528615495,338546.8852603824
3507,1-in-11,0.0,329380.8303933774,385985.5830292911
3508,1-in-11,7.303012901760386e-05,383619.2854239011,268248.6351475089
3509,1-in-11,9.1901610727807e-05,292317.0721233269,655621.5170488176
3510,1-in-11,0.0610159209842082,291588.8262930769,657504.1024212171
3511,1-in-11,0.0040801053074749,429994.7598163845,583071.978688529
3512,1-in-11,0.0001160393666305,295597.20009044185,819424.2953862017
3513,1-in-11,0.0013029653038466,301624.2988772817,373566.13472157257
3514,1-in-11,0.0050935595015021,524011.89098133706,120992.21109796246
3515,1-in-11,0.0043830695946261,284001.2472880739,680951.2041633186
3516,1-in-11,0.0055383024494687,454114.47708239313,109731.82583238128
3517,1-in-11,0.0352749201209054,577491.0599791443,221617.3820201616
3518,1-in-11,0.0044274852026537,251154.99809982657,667846.2449959144
3519,1-in-11,0.0,409034.59117609967,434909.7347259958
3520,1-in-11,0.0012779356493806,282660.9636758025,692459.0709695615
3521,1-in-11,0.0054289230640678,391371.61031699454,390918.4450356914
3522,1-in-11,0.3412857141446783,609945.7634340652,246063.88283949863
3523,1-in-11,0.0,366035.5900072969,758882.9108661617
3524,1-in-11,0.0013099784822216,536807.0438074642,198029.64568318683
3525,1-in-11,0.0039684280611288,443180.1401756607,389600.56640737
3526,1-in-11,0.003102562024267,464396.2488567484,159999.53645604372
3527,1-in-11,0.002079134281272,162669.95514321755,824330.6928432958
3528,1-in-11,0.0,289354.1649399604,904951.282878974
3529,1-in-11,0.0051117559829555,309265.18868765736,670533.7686377269
3530,1-in-11,0.0043772173318989,332272.6654784593,135800.21861226409
3531,1-in-11,0.0001237390101442,308280.24075811007,723705.2275155848
3532,1-in-11,0.0049315900593831,557885.9001082692,267203.23122404306
3533,1-in-11,0.0,392652.96403164,304367.0698166527
3534,1-in-11,0.0020723852728656,402741.37176649726,295045.9351793312
3535,1-in-11,3.423191704488016e-05,179404.5434874949,638524.5823366109
3536,1-in-11,0.0424172645483642,615954.0127276563,159426.53364852173
3537,1-in-11,2.6230532821469588e-05,336803.6164693039,374976.7617537873
3538,1-in-11,0.0001260820701737,320575.35430451017,178017.71363605926
3539,1-in-11,2.018437486384084e-05,373057.7556041556,393157.0553219635
3540,1-in-11,0.0004680460111693,239647.87680072687,923216.3076498545
3541,1-in-11,2.5579599829517186e-05,262603.4522970037,664823.1097863314
3542,1-in-11,0.0004311723413383,394599.2470441282,349299.6241855304
3543,1-in-11,0.0012553875456687,321469.96614060074,569789.324632318
3544,1-in-11,3.611885189214181e-05,335735.6999285819,731786.777728324
3545,1-in-11,0.0007076384427158,259943.0049918008,664693.426145958
3546,1-in-11,0.0068079908233277,365647.3062717991,80590.6884086529
3547,1-in-11,9.43991842016212e-05,516925.90814970864,161900.36190005403
3548,1-in-11,0.0014262855248335,440899.68268547824,369900.114875075
3549,1-in-11,0.0,310097.4186689409,193806.87704322583
3550,1-in-11,0.0034320917480691,532181.9648909286,183028.41882043565
3551,1-in-11,0.0003396394096257,356572.2957457885,835907.2320297494
3552,1-in-11,0.0001004178587447,394131.5838020865,805482.0761662617
3553,1-in-11,0.0191373561244335,265532.2122810526,660871.933500534
3554,1-in-11,0.0027078806155128,298207.78732996737,613473.0437760069
3555,1-in-11,0.0,298713.22417019925,620200.4224686209
3556,1-in-11,0.0003170597631203,282340.315002094,637431.5368256122
3557,1-in-11,0.0010587171275779,274049.0625815105,663857.8856888128
3558,1-in-11,0.0,339736.05949315644,675265.9863062795
3559,1-in-11,0.0019075647950369,251940.30362953251,823829.6948555929
3560,1-in-11,0.0001236861705983,289735.82530521054,958740.3027057706
3561,1-in-11,7.220252476181077e-05,328401.79572370107,370756.2333339472
3562,1-in-11,0.0002338918500508,234771.56060392727,863871.1125579868
3563,1-in-11,5.133989506733716e-05,481294.1700545543,378919.61984237307
3564,1-in-11,0.0001424819190563,321811.32936774305,739180.4150665868
3565,1-in-11,0.0009870963986281,436539.9764480384,284362.6589236841
3566,1-in-11,0.0106109297885444,456027.6914007876,201672.842189877
3567,1-in-11,0.0011439013178524,246329.48114101213,619691.505050143
3568,1-in-11,0.0005173869380011,390836.96586078574,804475.1406101846
3569,1-in-11,0.0041239753659325,504462.0169832611,434986.5581004943
3570,1-in-11,0.000369716854605,251972.83485044996,661179.1470809474
3571,1-in-11,0.0001416736295349,182752.9927467075,650247.4807593331
3572,1-in-11,0.0001646227773476,366382.8012224682,669254.388458987
3573,1-in-11,0.0011180572877222,453496.3858666192,196000.4793373772
3574,1-in-11,0.0004842369811751,276456.2953982057,674766.8890896204
3575,1-in-11,0.0730869092338895,336072.03608227364,714014.0464567569
3576,1-in-11,0.0569649146799647,318271.88782156166,668450.1425562189
3577,1-in-11,0.000171388106138,315141.96933615435,852711.0112299522
3578,1-in-11,0.0002387303545933,262102.57394265657,662432.113602037
3579,1-in-11,0.0851741537801128,282372.0133388369,684493.7315295222
3580,1-in-11,0.0,260442.4615505756,610955.8761973538
3581,1-in-11,7.527306248444887e-05,230959.6357718768,672388.2371627823
3582,1-in-11,0.0065609868477077,289530.880817043,695268.9167725765
3583,1-in-11,0.0037485747320797,324592.78340595914,673341.4037546807
3584,1-in-11,0.0047957280754175,298125.1387309589,966650.7927083124
3585,1-in-11,8.750621756070665e-05,423507.0481405232,319546.29141750565
3586,1-in-11,0.0069900427244994,466563.3883725104,427094.51548667473
3587,1-in-11,0.0008948722058761,300846.0229683356,669288.519565372
3588,1-in-11,2.731735583738626e-05,253294.87809009323,671671.837618711
3589,1-in-11,0.0,316183.1749040606,930246.5654198764
3590,1-in-11,4.225401855739719e-05,341556.8394852034,730355.2337612357
3591,1-in-11,0.0684039520171734,128128.49434125988,846576.5255818638
3592,1-in-11,2.9221594908257487e-06,298993.2684684344,575303.4419728033
3593,1-in-11,0.0021364795229917,364357.98355880665,676102.5701519569
3594,1-in-11,0.0,347354.01672756526,657149.2684334507
3595,1-in-11,0.0373410694451649,309943.74577907665,689472.3145776358
3596,1-in-11,0.0,607283.7608434623,116863.42192757996
3597,1-in-11,1.6295792205855975e-05,259426.88098967556,822391.956100834
3598,1-in-11,0.0033696927815017,216641.4772386248,679637.0782446458
3599,1-in-11,0.0029450484224102,388623.483236793,813920.8427391296
3600,1-in-11,0.0001073742008076,518352.3392137572,179461.73549115896
3601,1-in-11,0.0,516100.1964987293,258799.84143840757
