,scenario,failure,Easting,Northing
0,1-in-11,0.0102989213198275,277200.13688128314,64999.5608485828
1,1-in-11,0.0004594649016012,320119.1197593152,717092.7878614786
2,1-in-11,0.0015092789527414,302500.140744223,166099.8355851685
3,1-in-11,0.0002443917238876,204959.64652637453,705012.5152441239
4,1-in-11,1.87087418531684e-05,445172.455415981,394545.2508052285
5,1-in-11,4.032503907458462e-06,264592.13044615334,870974.2448889274
6,1-in-11,1.6241937855765443e-05,250201.8225985781,125174.68530834734
7,1-in-11,0.0280727755514746,493120.09214804287,197102.95928420775
8,1-in-11,0.0001499089407513,200492.2509578475,707499.5741013113
9,1-in-11,0.0001088001384401,362053.6710624992,741490.2024364459
10,1-in-11,0.0011804975985867,217547.6625815248,713969.6173379108
11,1-in-11,0.0002903282219125,215992.390036374,576998.6274036157
12,1-in-11,0.0056055395528102,122255.60219941929,861102.2037804463
13,1-in-11,3.320730159273033e-05,334961.46948066994,98977.03718193134
14,1-in-11,0.001675507105334,236487.59968336392,621156.2989562495
15,1-in-11,0.0041924535988688,295436.2851374617,668742.111587061
16,1-in-11,0.0021086944675081,289892.8791645768,681508.8977240298
17,1-in-11,0.0003071773034003,546906.2017831481,182564.9355988573
18,1-in-11,0.0007032622770823,250766.34037007243,844658.673161183
19,1-in-11,0.0,530535.9841526906,165437.70908530726
20,1-in-11,0.0010856845587885,304241.9381215859,847162.3575533264
21,1-in-11,0.0,395161.7169499858,653788.8033721175
22,1-in-11,0.0,426300.2960937422,276499.6899242305
23,1-in-11,0.0014089416431471,519661.66528615495,338546.8852603824
24,1-in-11,0.0,329380.8303933774,385985.5830292911
25,1-in-11,5.404816160037296e-05,383619.2854239011,268248.6351475089
26,1-in-11,6.801474073570013e-05,292317.0721233269,655621.5170488176
27,1-in-11,0.0455238409760525,291588.8262930769,657504.1024212171
28,1-in-11,0.0030211809240511,429994.7598163845,583071.978688529
29,1-in-11,8.587893220224352e-05,295597.20009044185,819424.2953862017
30,1-in-11,0.0009644532127071,301624.2988772817,373566.13472157257
31,1-in-11,0.003772108133998,524011.89098133706,120992.21109796246
32,1-in-11,0.0032456439792354,284001.2472880739,680951.2041633186
33,1-in-11,0.0041017068386257,454114.47708239313,109731.82583238128
34,1-in-11,0.026227517448694,577491.0599791443,221617.3820201616
35,1-in-11,0.0032785525283469,251154.99809982657,667846.2449959144
36,1-in-11,0.0,409034.59117609967,434909.7347259958
37,1-in-11,0.0009459232153713,282660.9636758025,692459.0709695615
38,1-in-11,0.0040206422963459,391371.61031699454,390918.4450356914
39,1-in-11,0.265786186034355,609945.7634340652,246063.88283949863
40,1-in-11,0.0,366035.5900072969,758882.9108661617
41,1-in-11,0.0009696452427714,536807.0438074642,198029.64568318683
42,1-in-11,0.0029384449035215,443180.1401756607,389600.56640737
43,1-in-11,0.0022970503666196,464396.2488567484,159999.53645604372
44,1-in-11,0.001539127910082,162669.95514321755,824330.6928432958
45,1-in-11,0.0,289354.1649399604,904951.282878974
46,1-in-11,0.0037855927828706,309265.18868765736,670533.7686377269
47,1-in-11,0.0032413079311616,332272.6654784593,135800.21861226409
48,1-in-11,9.15774103750211e-05,308280.24075811007,723705.2275155848
49,1-in-11,0.0036520822014343,557885.9001082692,267203.23122404306
50,1-in-11,0.0,392652.96403164,304367.0698166527
51,1-in-11,0.001534130450727,402741.37176649726,295045.9351793312
52,1-in-11,2.5334240534413688e-05,179404.5434874949,638524.5823366109
53,1-in-11,0.031568097491493,615954.0127276563,159426.53364852173
54,1-in-11,1.9412583172617737e-05,336803.6164693039,374976.7617537873
55,1-in-11,9.331150284819234e-05,320575.35430451017,178017.71363605926
56,1-in-11,1.4937956106408912e-05,373057.7556041556,393157.0553219635
57,1-in-11,0.0003464094307314,239647.87680072687,923216.3076498545
58,1-in-11,1.893084180126792e-05,262603.4522970037,664823.1097863314
59,1-in-11,0.0003191170221342,394599.2470441282,349299.6241855304
60,1-in-11,0.0009292304673568,321469.96614060074,569789.324632318
61,1-in-11,2.673072340264593e-05,335735.6999285819,731786.777728324
62,1-in-11,0.0005237524956063,259943.0049918008,664693.426145958
63,1-in-11,0.0050428829657414,365647.3062717991,80590.6884086529
64,1-in-11,6.986317293544708e-05,516925.90814970864,161900.36190005403
65,1-in-11,0.0010557516158136,440899.68268547824,369900.114875075
66,1-in-11,0.0,310097.4186689409,193806.87704322583
67,1-in-11,0.0025411340601904,532181.9648909286,183028.41882043565
68,1-in-11,0.0002513691555003,356572.2957457885,835907.2320297494
69,1-in-11,7.431754605291552e-05,394131.5838020865,805482.0761662617
70,1-in-11,0.0141985582132364,265532.2122810526,660871.933500534
71,1-in-11,0.0020047362160873,298207.78732996737,613473.0437760069
72,1-in-11,0.0,298713.22417019925,620200.4224686209
73,1-in-11,0.0002346571354995,282340.315002094,637431.5368256122
74,1-in-11,0.0007836361358065,274049.0625815105,663857.8856888128
75,1-in-11,0.0,339736.05949315644,675265.9863062795
76,1-in-11,0.0014120880430081,251940.30362953251,823829.6948555929
77,1-in-11,9.1538303980232e-05,289735.82530521054,958740.3027057706
78,1-in-11,5.343566222615337e-05,328401.79572370107,370756.2333339472
79,1-in-11,0.0001731023756004,234771.56060392727,863871.1125579868
80,1-in-11,3.799553910244224e-05,481294.1700545543,378919.61984237307
81,1-in-11,0.0001054490167982,321811.32936774305,739180.4150665868
82,1-in-11,0.0007306174445672,436539.9764480384,284362.6589236841
83,1-in-11,0.0078637437317762,456027.6914007876,201672.842189877
84,1-in-11,0.0008466967397139,246329.48114101213,619691.505050143
85,1-in-11,0.0003829300113442,390836.96586078574,804475.1406101846
86,1-in-11,0.0030536826900796,504462.0169832611,434986.5581004943
87,1-in-11,0.0002736307220421,251972.83485044996,661179.1470809474
88,1-in-11,0.0001048508012113,182752.9927467075,650247.4807593331
89,1-in-11,0.0001218355289275,366382.8012224682,669254.388458987
90,1-in-11,0.0008275646363889,453496.3858666192,196000.4793373772
91,1-in-11,0.0003583934187616,276456.2953982057,674766.8890896204
92,1-in-11,0.0546199015025931,336072.03608227364,714014.0464567569
93,1-in-11,0.0424780410077961,318271.88782156166,668450.1425562189
94,1-in-11,0.0001268425868005,315141.96933615435,852711.0112299522
95,1-in-11,0.0001766834436069,262102.57394265657,662432.113602037
96,1-in-11,0.0637591175208639,282372.0133388369,684493.7315295222
97,1-in-11,0.0,260442.4615505756,610955.8761973538
98,1-in-11,5.570812876853904e-05,230959.6357718768,672388.2371627823
99,1-in-11,0.004859762961285,289530.880817043,695268.9167725765
100,1-in-11,0.0027755737428752,324592.78340595914,673341.4037546807
101,1-in-11,0.0035514068716068,298125.1387309589,966650.7927083124
102,1-in-11,6.476175175762489e-05,423507.0481405232,319546.29141750565
103,1-in-11,0.005177857378859,466563.3883725104,427094.51548667473
104,1-in-11,0.0006623480782463,300846.0229683356,669288.519565372
105,1-in-11,2.021691746656451e-05,253294.87809009323,671671.837618711
106,1-in-11,0.0,316183.1749040606,930246.5654198764
107,1-in-11,3.1271242693198253e-05,341556.8394852034,730355.2337612357
108,1-in-11,0.0510874377193941,128128.49434125988,846576.5255818638
109,1-in-11,2.162613039757844e-06,298993.2684684344,575303.4419728033
110,1-in-11,0.0015815908749584,364357.98355880665,676102.5701519569
111,1-in-11,0.0,347354.01672756526,657149.2684334507
112,1-in-11,0.0277713896423426,309943.74577907665,689472.3145776358
113,1-in-11,0.0,607283.7608434623,116863.42192757996
114,1-in-11,1.2060106260869397e-05,259426.88098967556,822391.956100834
115,1-in-11,0.0024949133412273,216641.4772386248,679637.0782446458
116,1-in-11,0.0021803869589577,388623.483236793,813920.8427391296
117,1-in-11,7.946588811968969e-05,518352.3392137572,179461.73549115896
118,1-in-11,0.0,516100.1964987293,258799.84143840757
119,1-in-11,0.0002403239899565,379485.0281819135,641670.1333251962
120,1-in-11,0.0011157393700702,475299.7538914609,225899.50112241064
121,1-in-11,0.0,135526.55234669993,851046.7856815611
122,1-in-11,0.0001038048240762,270411.5180298893,666990.0974689694
123,1-in-11,0.0030361653647443,457500.0182403856,424500.1089436413
124,1-in-11,0.0,262663.1174305469,656795.2420884928
125,1-in-11,0.0002302742292292,264417.8260917773,651683.6057564543
126,1-in-11,0.0015186941973004,245869.6904424253,663441.7061839505
127,1-in-11,0.0,321278.20470657,864659.5254649235
128,1-in-11,8.167526353386467e-05,411759.0123699996,422000.8133329938
129,1-in-11,0.0002985339306702,514671.6215566844,197049.20992003343
130,1-in-11,0.0001953624972704,294291.65805348015,617173.8041120642
131,1-in-11,0.0207292635834452,453000.1427175334,300136.91128619603
132,1-in-11,0.0,277205.9440119453,758943.9249577828
133,1-in-11,0.001094036412631,244992.3342654961,670613.9322214713
134,1-in-11,0.0026313932025949,328403.0715892688,585492.0165687231
135,1-in-11,0.0013370778354369,301134.0938149921,97431.77274720758
136,1-in-11,5.2097634396397474e-05,270054.4414227795,829352.6249048207
137,1-in-11,0.0003665170038152,358371.47387738427,659283.5972131717
138,1-in-11,0.0002737567385387,251940.30362953251,823829.6948555929
139,1-in-11,8.669236965330729e-05,232141.42250201723,829248.350740925
140,1-in-11,0.0061817805948439,235823.87085594737,808347.2567445562
141,1-in-11,0.0070644219682816,447099.9867129563,102699.56177811584
142,1-in-11,0.0025387864696388,402000.1746433509,261599.82055866648
143,1-in-11,0.0001210445669502,203613.05990471644,724227.5065459016
144,1-in-11,0.0149493708413329,448099.90437572496,425099.9709312832
145,1-in-11,0.0016781957898913,383496.8752768646,785556.3127789292
146,1-in-11,6.106542604855658e-05,382322.4187455957,781114.5972771302
147,1-in-11,0.0003681982969598,354299.8262268676,386299.6364371202
148,1-in-11,0.0002704671712874,257521.6389475581,665598.3305187196
149,1-in-11,7.638891729166986e-05,478279.1478841676,150741.43438598496
150,1-in-11,0.0002917761907714,389649.1442885471,568652.8124652525
151,1-in-11,2.4002874114748e-05,398669.9270824161,866264.2283421219
152,1-in-11,0.0265322882384304,352385.1213332009,379424.6992314772
153,1-in-11,0.0,212233.13007824167,774127.6891612334
154,1-in-11,0.000816595676328,351619.2058079788,635205.4602828467
155,1-in-11,0.0001357436995937,277025.8436532364,628583.9844075469
156,1-in-11,0.0003680525244529,256059.2359564445,658468.4434557365
157,1-in-11,0.0012999023531509,339084.797851185,729889.1669623607
158,1-in-11,8.613884866259802e-05,321083.4394634403,838260.5377231519
159,1-in-11,0.0002999593863945,220583.9291152584,557124.4264261667
160,1-in-11,0.0021270552884551,321293.6872605728,691349.8156737991
161,1-in-11,0.0002818413754199,325599.1366904143,702235.8110517984
162,1-in-11,0.0003756196510318,322957.3971627821,672015.484469005
163,1-in-11,0.0,287628.507220802,928070.6139786474
164,1-in-11,0.0021865793938532,255231.5698905483,664678.0386075808
165,1-in-11,0.0002520675781988,588853.5569520991,175347.49057837826
166,1-in-11,0.0008473202879212,486899.71930887736,261300.53243360852
167,1-in-11,0.0002169991303202,290983.65576448326,742692.6445615004
168,1-in-11,0.0007508322631628,522500.0705650509,409300.0929324547
169,1-in-11,0.0078228358954606,294748.0069393448,680049.5145172422
170,1-in-11,2.4186890647981407e-05,332946.51138461777,571330.1378666265
171,1-in-11,0.0035088992262288,456226.2028152802,520388.7642117744
172,1-in-11,0.0002954556450429,231056.4254372565,861806.4473141832
173,1-in-11,0.0038163936822163,535746.8331029151,186321.15344238785
174,1-in-11,0.0007927712983191,228768.45886559525,594459.6771521615
175,1-in-11,0.0,256366.76584720545,661877.8143682566
176,1-in-11,0.0,419500.2842768618,292499.57576069434
177,1-in-11,0.0046903937325053,294499.9627464783,588343.2575990651
178,1-in-11,0.0035104024333811,338386.52540160826,561126.6051000548
179,1-in-11,0.0,445737.8001580004,534151.3482060907
180,1-in-11,0.0002676256964208,349383.52948834066,615767.0488290065
181,1-in-11,0.0016451156060509,438572.5643886675,545827.4332369154
182,1-in-11,0.0,231747.96876333145,684068.0612427144
183,1-in-11,0.0028624818022149,341800.0552111141,459900.283002018
184,1-in-11,0.0,480700.0339773725,370799.8215209958
185,1-in-11,4.77858155012445e-05,321000.0532138879,145799.46999910127
186,1-in-11,0.0001726882310961,218552.04622011472,651154.5943112654
187,1-in-11,2.375515979369247e-05,517199.72880748543,416700.0260088144
188,1-in-11,0.0003060512900207,220347.79325739585,653694.1186704901
189,1-in-11,0.001790436174987,218872.4645430622,651326.0368966147
190,1-in-11,0.0003272364149959,549884.3386203239,172639.39480253472
191,1-in-11,0.0008822456731464,356399.8542647748,489299.7084891775
192,1-in-11,0.0015992509454405,328607.12948565284,183723.73423906424
193,1-in-11,0.0,194016.5373165848,59131.17590742221
194,1-in-11,0.0003955765047457,313532.1255876716,684123.4420741071
195,1-in-11,4.2188515460783726e-05,268032.2958589037,841926.2621064181
196,1-in-11,0.0001149443901822,231609.54110590613,717945.3608115487
197,1-in-11,0.0015002850460958,366799.6742171653,185800.48701424905
198,1-in-11,0.0002720877534549,365600.73707693926,304044.97402847704
199,1-in-11,6.542887871785474e-05,504311.4451681185,183731.6135011688
200,1-in-11,3.554417429518786e-05,243309.64414168432,664068.3285289973
201,1-in-11,3.542994245275821e-05,436201.1794194582,381552.5533485677
202,1-in-11,0.0075410214988757,327334.3869383283,666985.7009764471
203,1-in-11,7.051174569383534e-05,482299.7034559301,411900.07163155096
204,1-in-11,0.0216176241707973,376356.1659307546,404669.9809647373
205,1-in-11,0.0002552396203706,343909.0864811148,850407.0200673454
206,1-in-11,0.000494323653281,590799.8697534263,166899.9224236536
207,1-in-11,0.0001497084515976,343841.9112959849,397367.1833989723
208,1-in-11,0.0003354937639302,255685.7440617185,670210.0362834382
209,1-in-11,4.382451828133238e-05,256920.3804298101,733897.716502962
210,1-in-11,0.0037548276548551,249303.10619462692,670583.9338865365
211,1-in-11,0.0006930989982455,223206.72697333188,576169.4597481478
212,1-in-11,3.2115710859481617e-05,219283.51915291965,762008.1100951566
213,1-in-11,0.0148110733686614,245276.88220732543,634510.3990273136
214,1-in-11,0.0,243376.96632719645,636081.9153786297
215,1-in-11,0.0004579689568671,231642.1810655245,644417.593694637
216,1-in-11,0.0066729941856839,580800.1373769642,171999.99585350993
217,1-in-11,0.0002948563220069,377099.6844863732,814294.4622846113
218,1-in-11,0.0,426648.0680718128,434468.0525522765
219,1-in-11,0.0,399194.29800809454,281523.31119308644
220,1-in-11,5.4287572511468873e-05,433732.83887107833,459987.145259454
221,1-in-11,0.0013842423948283,265211.8076214694,839255.8983322732
222,1-in-11,0.0338941729220065,456158.9629345693,519310.959509325
223,1-in-11,0.0004281431550744,258578.6127030212,904609.785097967
224,1-in-11,0.0,506439.47888588335,170543.7535807141
225,1-in-11,0.0008458356307635,240900.21989964924,62899.97963037755
226,1-in-11,3.707442009281969e-05,329528.3008330789,348321.5043660618
227,1-in-11,0.0147017725010322,338238.8499596293,702137.3276965029
228,1-in-11,0.0,306199.7729111229,669007.1620497282
229,1-in-11,0.0002443342086465,285234.8224089169,643489.9273743795
230,1-in-11,0.0015722368373792,338692.2597526245,391746.31445729913
231,1-in-11,0.0001207350553864,555600.1851863763,176399.51692083018
232,1-in-11,0.0048650306315046,467499.7837047128,113499.558111153
233,1-in-11,0.002249195720276,347064.93523487146,751734.6726046044
234,1-in-11,0.0070644902985322,337460.163199833,732569.4717830811
235,1-in-11,0.0010966334989312,392057.2475395672,374627.75374072336
236,1-in-11,0.0015253024605237,370800.7805116405,863384.2601929402
237,1-in-11,0.0108332665923136,278507.7458980094,186389.91920055635
238,1-in-11,0.0004850954314915,223708.18835879109,586053.6477747196
239,1-in-11,0.0012137842375757,407499.83090960153,105299.5782280714
240,1-in-11,0.0001185532275044,229804.18816555908,608629.7536946379
241,1-in-11,0.1302682298742024,389699.6524541722,165999.68540956802
242,1-in-11,2.4176295522204683e-06,343600.57845264266,731095.6024274137
243,1-in-11,0.0001801978314133,524099.813298194,192499.63784085572
244,1-in-11,8.785038006275947e-06,228703.3610446051,808347.2263749037
245,1-in-11,0.0,399899.9947872659,189800.5309959519
246,1-in-11,0.0010783583447597,306111.3694097228,605273.9876286438
247,1-in-11,0.0006612199774735,448408.391654206,429233.4054390648
248,1-in-11,0.0011288521626907,319677.77517294954,691101.4678408946
249,1-in-11,0.0,316947.94718238496,951739.4368911542
250,1-in-11,0.0008987152144287,289785.2628444013,855269.9552417847
251,1-in-11,1.9089643770175968e-05,202098.75019998173,720434.4136373394
252,1-in-11,6.44527480686552e-06,278802.66487260046,660367.9730376843
253,1-in-11,0.0063425359762636,410235.9333936392,289922.7976530268
254,1-in-11,0.0014983568336759,259632.2265186493,611569.7199070827
255,1-in-11,0.0,434155.7528189184,390094.6528972441
256,1-in-11,0.003879831586168,245036.1441654125,659940.0313582668
257,1-in-11,0.0,240560.34647193903,564367.8225340223
258,1-in-11,0.0093867744147582,534815.0313609496,178008.87878674676
259,1-in-11,1.734716504864231e-05,562059.6516049651,172452.18588748918
260,1-in-11,7.654360311293296e-05,510419.55594111054,179042.6431214649
261,1-in-11,2.3553404477349996e-05,572399.6793741212,111900.50365048784
