,scenario,Inoperability
0,1-in-11,0.007501371099724375
1,1-in-22,0.09134442411654245
2,1-in-33,0.1193360217620074
3,1-in-55,0.15185860961300024
4,1-in-110,0.1933058504492718
5,"1-in-1,000",0.3168611971850436
6,"1-in-10,000",0.4265135331418067
7,"1-in-100,000",0.5099482315766899
8,"1-in-1,000,000",0.5719799214773141
