transformer_count,Easting,Northing
1,224492.9267777841,674952.9432144507
2,428687.04913903907,534596.8678005354
1,435335.35636907007,564462.862876206
1,335134.71316764934,442994.6204254315
3,397125.942968954,399456.9392568999
2,475869.68816922547,353982.43489873054
4,416512.1439499292,564803.6422803834
2,269539.9123970036,652985.7944030291
1,281050.926419406,693090.5866847006
1,239227.9236764333,675648.7636272812
1,464009.8869264628,340734.56723601447
1,279233.6439397954,907094.5309042676
1,395913.7563680908,855130.9203365502
1,284267.81079296884,964923.5830619836
1,426506.1110933338,399100.2883178087
2,503024.3384256939,227522.7461235909
4,264623.8145861962,200082.76635340654
1,352423.5260919806,807011.2839723029
1,319200.074131969,124800.2540317789
1,201914.56706006575,731062.048054983
2,339942.0580661334,736910.8294260537
1,322604.30654969905,674971.9386624672
1,440909.4250634381,390753.83855435695
3,460504.7127468518,409540.7890388546
1,312309.8660130991,965894.95631571
2,448763.6602305671,390053.95870236313
3,566145.6365035895,176054.76941758633
2,440346.5872580329,389553.22036988754
1,457139.66075724794,523866.03694373404
2,270034.4598041455,552959.319185585
1,373881.7860960922,673190.3559767432
2,535272.7514989311,191235.86643510277
2,269199.99189866026,338400.0536821493
1,321599.69402508077,176500.07092031947
1,276935.96613433235,759132.8397738017
2,432099.372480949,570023.9434031948
2,310008.2315809424,186949.03049836558
3,332306.4665007363,183600.18825735303
2,382637.2909394046,220106.85743636882
3,548591.1315732251,316534.88065996894
2,537504.3949759636,203626.95389478625
2,559602.4709741112,186277.57514373958
1,345794.02700795676,407655.2964721678
3,510519.71342774905,194991.85842198133
2,434000.28588292515,560799.7022581684
1,479467.627857733,385528.51922312664
1,371726.4909257094,672124.0992361205
2,319616.3879905178,697437.3813100467
1,258400.3107014111,665586.8108438876
4,538993.7478335521,181994.0472176032
2,388980.2126391842,403599.8930449646
1,325159.5352536494,671442.3621451088
5,337114.55927309796,185541.48028413445
1,223348.4538959267,692176.4875897338
1,439051.431713473,391184.1467409509
1,396010.6966825963,297707.1820575078
2,430099.786681739,328700.1681261611
2,456251.67096083506,520428.09108873736
