,0
0,0.01029892131982757
1,0.0004594649016012031
2,0.001509278952741444
3,0.0002443917238876825
4,1.8708741853168398e-05
5,4.032503907458462e-06
6,1.6241937855765443e-05
7,0.028072775551474694
8,0.0001499089407513976
9,0.00010880013844016823
10,0.0011804975985867383
11,0.00029032822191255026
12,0.00560553955281029
13,3.320730159273033e-05
14,0.0016755071053340398
15,0.004192453598868884
16,0.0021086944675081654
17,0.0003071773034003522
18,0.0007032622770823949
19,0.0
20,0.0010856845587885466
21,0.0
22,0.0
23,0.001408941643147199
24,0.0
25,5.404816160037296e-05
26,6.801474073570013e-05
27,0.045523840976052554
28,0.0030211809240511256
29,8.587893220224352e-05
30,0.0009644532127071059
31,0.0037721081339980866
32,0.0032456439792354352
33,0.004101706838625763
34,0.026227517448694004
35,0.0032785525283469674
36,0.0
37,0.000945923215371347
38,0.004020642296345911
39,0.265786186034355
40,0.0
41,0.000969645242771433
42,0.0029384449035215754
43,0.0022970503666196462
44,0.0015391279100820388
45,0.0
46,0.003785592782870606
47,0.003241307931161619
48,9.15774103750211e-05
49,0.0036520822014343146
50,0.0
51,0.0015341304507270337
52,2.5334240534413688e-05
53,0.03156809749149303
54,1.9412583172617737e-05
55,9.331150284819234e-05
56,1.4937956106408912e-05
57,0.000346409430731498
58,1.8930841801267917e-05
59,0.0003191170221342743
60,0.000929230467356823
61,2.673072340264593e-05
62,0.0005237524956063222
63,0.005042882965741402
64,6.986317293544708e-05
65,0.001055751615813616
66,0.0
67,0.0025411340601904087
68,0.00025136915550039163
69,7.431754605291552e-05
70,0.014198558213236456
71,0.0020047362160873217
72,0.0
73,0.0002346571354995275
74,0.0007836361358065647
75,0.0
76,0.0014120880430081861
77,9.1538303980232e-05
78,5.343566222615337e-05
79,0.0001731023756004202
80,3.7995539102442244e-05
81,0.00010544901679820917
82,0.0007306174445672609
83,0.00786374373177623
84,0.0008466967397139369
85,0.0003829300113442624
86,0.003053682690079662
87,0.00027363072204211747
88,0.0001048508012113647
89,0.00012183552892752747
90,0.0008275646363889999
91,0.0003583934187616489
92,0.054619901502593105
93,0.042478041007796175
94,0.00012684258680051297
95,0.00017668344360699528
96,0.06375911752086394
97,0.0
98,5.5708128768539034e-05
99,0.004859762961285097
100,0.0027755737428752925
101,0.0035514068716068214
102,6.476175175762489e-05
103,0.005177857378859008
104,0.0006623480782463886
105,2.021691746656451e-05
106,0.0
107,3.1271242693198253e-05
108,0.05108743771939417
109,2.1626130397578436e-06
110,0.0015815908749584606
111,0.0
112,0.027771389642342603
113,0.0
114,1.2060106260869397e-05
115,0.0024949133412273117
116,0.002180386958957725
117,7.946588811968969e-05
118,0.0
119,0.0002403239899565479
120,0.0011157393700702567
121,0.0
122,0.00010380482407623681
123,0.003036165364744381
124,0.0
125,0.00023027422922927698
126,0.0015186941973004409
127,0.0
128,8.167526353386467e-05
129,0.0002985339306702528
130,0.00019536249727047927
131,0.02072926358344529
132,0.0
133,0.0010940364126310609
134,0.0026313932025949782
135,0.0013370778354369062
136,5.2097634396397474e-05
137,0.00036651700381529206
138,0.00027375673853879956
139,8.669236965330729e-05
140,0.0061817805948439775
141,0.007064421968281609
142,0.0025387864696388984
143,0.0001210445669502791
144,0.014949370841332965
145,0.001678195789891368
146,6.106542604855658e-05
147,0.00036819829695988737
148,0.00027046717128742515
149,7.638891729166986e-05
150,0.00029177619077147554
151,2.4002874114747996e-05
152,0.026532288238430457
153,0.0
154,0.0008165956763280802
155,0.0001357436995937933
