,Unnamed: 0,node_number,longitude,latitude,Mar-89,11years,22years,33years,55years,110years,1000years,10000years,100000years,1000000years,voltage
0,0,2,-3.73183,50.47192,29.22665382418593,7.800593906382757,23.16504582159459,26.727774922830505,30.696754512582757,35.676976326403306,50.64686841296842,65.95286702334737,81.26471096640351,96.57655491860088,400
1,1,5,-3.29375,56.33943,15.35752222262843,4.09892268159131,12.172372113941575,14.044454072915526,16.130005590973262,18.746927378854277,26.61305026013751,34.655784649521955,42.7015905443558,50.74739644399303,275
2,2,8,-3.40251,51.38554,18.97286025788865,5.063856403289784,15.03788904075622,17.350680706236762,19.927195129535757,23.16017051889468,32.87806954156818,42.81415646034655,52.75403795241792,62.69391945042346,275
3,3,11,-5.145416666666667,56.19764166666666,12.250345458980004,3.2696172032983246,9.709623811015913,11.202940922493928,12.866537836002726,14.95399670312636,21.228623646300942,27.64412956428069,34.06208555215378,40.48004154385843,275
4,4,14,-1.32135,53.445746,2.435744361100261,0.6501001700366252,1.930570980653472,2.227488218277231,2.5582623025503,2.973313141863404,4.220901403437034,5.496500725566322,6.772587196727206,8.04867366864992,275
5,5,17,-4.2742,57.7081,4.902413821477097,1.308454249070917,3.885653194994133,4.4832574398435385,5.149005236871887,5.984376552417131,8.49539291141154,11.062787030164069,13.631161632001664,16.19953623537259,275
6,6,20,-4.13651,51.0064,41.53371116392052,11.085347510655854,32.91961946929764,37.98257886027568,43.62285683694404,50.70020122237303,71.973768077431,93.724972617746,115.48448390301144,137.24399520126738,400
7,7,23,-0.655,51.665,7.292934594748221,1.9464842435148508,5.780379959933388,6.669388687050077,7.659769205123634,8.902485260612526,12.63792635949786,16.45723620742945,20.278004642757185,24.09877308036593,400
8,8,26,-5.21917,56.2181,8.240292050318931,2.1993339484296075,6.531255479236393,7.535747080189344,8.654778740743271,10.05892450673205,14.279602094289944,18.595043041789904,22.912132048239105,27.22922105726563,275
9,9,29,-2.61904,56.56383,20.9059659872599,5.579802322505769,16.570068641891908,19.11850589578728,21.95753607716318,25.519912682951112,36.22794846006418,47.17640284948973,58.12903843348065,69.08167402401035,275
10,10,32,-4.949,56.283,13.253567399284346,3.5373771391898403,10.504777520919834,12.120387386923271,13.920221839940083,16.17862972576638,22.967106946689924,29.908000194898104,36.85154415745335,43.79508812415392,275
