population,Easting,Northing
389063.49999999994,277200.13688128314,64999.5608485828
59075.60527463598,320119.11975931516,717092.7878614786
214725.50402930405,302500.140744223,166099.8355851685
1799.090909090909,204959.64652637453,705012.5152441239
239024.79536239224,445172.455415981,394545.25080522854
0.0,264592.13044615334,870974.2448889274
88732.41666666667,250201.8225985781,125174.68530834734
430932.3451552396,493120.09214804287,197102.95928420778
1799.090909090909,200492.2509578475,707499.5741013113
23877.25113122172,362053.6710624992,741490.2024364459
6587.098894893927,217547.6625815248,713969.6173379108
4686.25,215992.390036374,576998.6274036157
26900.0,122255.60219941929,861102.2037804463
158730.28205128203,334961.46948066994,98977.03718193134
29586.98690475374,236487.59968336392,621156.2989562495
53834.873566973154,295436.2851374617,668742.111587061
59347.59758131007,289892.87916457676,681508.8977240298
442846.50135233614,546906.2017831481,182564.9355988573
26085.555555555555,250766.34037007243,844658.673161183
522337.4654151085,530535.9841526906,165437.70908530726
12008.75,304241.9381215859,847162.3575533264
52907.333333333336,395161.7169499858,653788.8033721175
436511.37171141984,426300.2960937422,276499.6899242305
292660.24159451656,519661.66528615495,338546.8852603824
234795.01146901344,329380.8303933774,385985.5830292911
399080.82609502645,383619.2854239011,268248.6351475089
50976.48647019896,292317.0721233269,655621.5170488176
53470.36402121936,291588.8262930769,657504.1024212171
186387.26904761905,429994.7598163845,583071.978688529
12008.75,295597.20009044185,819424.2953862017
191880.5744047619,301624.2988772817,373566.13472157257
475844.5266803364,524011.89098133706,120992.21109796246
44794.335772943,284001.2472880739,680951.2041633186
366448.2,454114.47708239313,109731.82583238129
371256.9882084575,577491.0599791443,221617.3820201616
34511.415685037784,251154.99809982657,667846.2449959144
290039.5289094317,409034.59117609967,434909.7347259958
44794.335772943,282660.9636758025,692459.0709695615
322328.9560076965,391371.61031699454,390918.4450356914
392122.991025641,609945.7634340652,246063.88283949863
40264.126131221725,366035.5900072969,758882.9108661617
421128.5622182165,536807.0438074642,198029.64568318683
230337.54589715158,443180.1401756607,389600.56640737
458124.39770018624,464396.2488567484,159999.53645604372
0.0,162669.95514321755,824330.6928432958
0.0,289354.1649399604,904951.2828789741
41123.81466973004,309265.18868765736,670533.7686377269
182636.25924630923,332272.6654784593,135800.21861226409
50670.82928897289,308280.24075811007,723705.2275155848
266624.4255764163,557885.9001082692,267203.23122404306
349755.33435571997,392652.96403164003,304367.0698166527
355381.5079779311,402741.37176649726,295045.93517933117
0.0,179404.5434874949,638524.5823366109
333373.1705307764,615954.0127276563,159426.53364852173
225735.91146901343,336803.6164693039,374976.7617537873
187633.63065268064,320575.35430451017,178017.71363605926
390022.6388718565,373057.7556041556,393157.0553219635
0.0,239647.87680072692,923216.3076498543
45054.917147026084,262603.4522970037,664823.1097863314
373146.0468756351,394599.2470441282,349299.6241855304
41097.399999999994,321469.96614060074,569789.324632318
40076.302413273006,335735.6999285819,731786.777728324
45054.917147026084,259943.0049918008,664693.426145958
170127.16666666666,365647.3062717991,80590.6884086529
575723.7707196242,516925.90814970864,161900.36190005403
230114.2978202285,440899.68268547824,369900.114875075
150960.275008325,310097.4186689409,193806.87704322586
410756.0622102915,532181.9648909286,183028.41882043565
28395.625,356572.2957457885,835907.2320297494
32804.017857142855,394131.5838020865,805482.0761662617
43255.82623793518,265532.2122810526,660871.933500534
28853.013717805152,298207.78732996737,613473.0437760069
31649.154068682343,298713.22417019925,620200.4224686209
51377.10221285229,282340.315002094,637431.5368256122
44134.24899464192,274049.0625815105,663857.8856888128
48160.31845911231,339736.05949315644,675265.9863062795
26085.555555555555,251940.30362953254,823829.6948555929
0.0,289735.82530521054,958740.3027057706
206503.01673217135,328401.79572370107,370756.23333394714
26085.555555555555,234771.56060392727,863871.1125579868
165831.9289312953,481294.1700545543,378919.61984237307
48447.413524384116,321811.32936774305,739180.4150665868
388356.71095520037,436539.9764480384,284362.65892368415
338555.93069773365,456027.69140078756,201672.842189877
31507.34404761088,246329.48114101213,619691.505050143
32804.017857142855,390836.96586078574,804475.1406101846
210351.71818181817,504462.0169832611,434986.5581004943
45803.915685037784,251972.83485044993,661179.1470809474
0.0,182752.9927467075,650247.4807593331
11533.962854349951,366382.8012224682,669254.388458987
322189.864031067,453496.3858666192,196000.47933737718
52505.36010575305,276456.29539820575,674766.8890896204
46404.35617671387,336072.03608227364,714014.0464567569
46394.87761340832,318271.88782156166,668450.1425562189
12008.75,315141.96933615435,852711.0112299522
45054.917147026084,262102.57394265657,662432.113602037
44794.335772943,282372.0133388369,684493.7315295222
49940.70567903275,260442.4615505756,610955.8761973538
24327.216496590474,230959.63577187678,672388.2371627823
43148.546299258785,289530.880817043,695268.9167725765
52097.569921100614,324592.78340595914,673341.4037546807
7283.333333333333,298125.1387309589,966650.7927083124
432861.56906753394,423507.0481405232,319546.29141750565
172920.53708907953,466563.38837251044,427094.51548667473
41123.81466973004,300846.0229683356,669288.519565372
37307.556035914975,253294.87809009323,671671.837618711
0.0,316183.1749040606,930246.5654198765
43545.96907993967,341556.8394852034,730355.2337612357
0.0,128128.49434125988,846576.5255818638
38486.05,298993.2684684344,575303.4419728033
22426.021677879366,364357.98355880665,676102.5701519569
38625.07295993064,347354.01672756526,657149.2684334507
53780.73460437056,309943.74577907665,689472.3145776358
287922.0126984127,607283.7608434623,116863.42192757997
0.0,259426.88098967553,822391.956100834
9970.368125663157,216641.4772386248,679637.0782446458
32804.017857142855,388623.483236793,813920.8427391296
421629.04512438615,518352.3392137572,179461.73549115896
460419.64223992877,516100.1964987293,258799.84143840754
61582.90909090909,379485.0281819135,641670.1333251962
