id,long,lat,voltage
0,396188.72871214175,813875.1371638335,132.0
0,388623.483236793,813920.8427391296,132.0
1,320119.11975931516,717092.7878614786,132.0
1,335735.6999285819,731786.777728324,132.0
2,320119.11975931516,717092.7878614786,132.0
2,291590.2555526744,738588.412866426,132.0
3,204959.64652637453,705012.5152441239,132.0
3,211700.21204710417,711853.4721611091,132.0
4,204959.64652637453,705012.5152441239,132.0
4,191345.04428739453,686518.9632154851,132.0
5,247447.42174090978,843578.1924098252,132.0
5,249354.7223359387,844155.7306860477,132.0
6,264592.13044615334,870974.2448889274,132.0
6,262879.3226760011,870062.7515816526,132.0
7,291590.2555526744,738588.412866426,132.0
7,308280.24075811007,723705.2275155848,132.0
8,291590.2555526744,738588.412866426,132.0
8,290983.65576448326,742692.6445615004,132.0
9,200492.2509578475,707499.5741013113,132.0
9,211700.21204710417,711853.4721611091,132.0
10,200492.2509578475,707499.5741013113,132.0
10,191345.04428739453,686518.9632154851,132.0
11,362053.6710624992,741490.2024364459,132.0
11,380819.4509932898,798264.6215028057,132.0
12,217547.6625815248,713969.6173379108,132.0
12,211700.21204710417,711853.4721611091,132.0
13,217547.6625815248,713969.6173379108,132.0
13,232549.34575461916,709274.8767971073,132.0
14,122255.60219941929,861102.2037804463,132.0
14,128128.49434125988,846576.5255818638,132.0
15,342853.23179561,848607.1649010408,400.0
15,343491.76568520325,848362.1780092819,400.0
16,250766.34037007243,844658.673161183,132.0
16,237820.61792297856,840465.1786785182,132.0
17,250766.34037007243,844658.673161183,132.0
17,250754.3977632005,844892.4378979017,132.0
18,250766.34037007243,844658.673161183,132.0
18,249354.7223359387,844155.7306860477,132.0
19,250766.34037007243,844658.673161183,132.0
19,263209.70146045275,870926.4986296981,132.0
20,250766.34037007243,844658.673161183,132.0
20,265211.8076214694,839255.8983322732,132.0
21,250766.34037007243,844658.673161183,132.0
21,268032.2958589037,841926.2621064181,132.0
22,250766.34037007243,844658.673161183,275.0
22,232141.42250201723,829248.350740925,275.0
23,250766.34037007243,844658.673161183,275.0
23,262879.3226760011,870062.7515816526,275.0
24,250766.34037007243,844658.673161183,275.0
24,265211.8076214694,839255.8983322732,275.0
25,250766.34037007243,844658.673161183,400.0
25,235823.87085594737,808347.2567445562,400.0
26,222263.15919433822,806580.0265907926,132.0
26,222464.90332596892,810839.4255202645,132.0
27,222263.15919433822,806580.0265907926,132.0
27,228703.3610446051,808347.2263749037,132.0
28,304241.9381215859,847162.3575533264,275.0
28,343491.76568520325,848362.1780092819,275.0
29,304241.9381215859,847162.3575533264,275.0
29,265211.8076214694,839255.8983322732,275.0
30,239184.3685064974,817887.9682556313,132.0
30,236024.828221649,815516.4267290484,132.0
31,334842.6526831145,734605.9299463212,132.0
31,335735.6999285819,731786.777728324,132.0
32,334842.6526831145,734605.9299463212,132.0
32,321811.32936774305,739180.4150665868,132.0
33,334842.6526831145,734605.9299463212,132.0
33,339942.0580661334,736910.8294260537,132.0
34,343491.76568520325,848362.1780092819,132.0
34,334137.27459238045,832593.8685137756,132.0
35,343491.76568520325,848362.1780092819,132.0
35,343909.0864811148,850407.0200673454,132.0
36,343491.76568520325,848362.1780092819,275.0
36,343909.0864811148,850407.0200673454,275.0
37,343491.76568520325,848362.1780092819,275.0
37,377099.6844863732,814294.4622846113,275.0
38,343491.76568520325,848362.1780092819,275.0
38,349132.3030226833,840507.1605229736,275.0
39,343491.76568520325,848362.1780092819,275.0
39,315141.96933615435,852711.0112299522,275.0
40,343491.76568520325,848362.1780092819,275.0
40,369066.7213231216,835474.9465664253,275.0
41,295597.20009044185,819424.2953862017,132.0
41,275568.5907585517,825280.4537495917,132.0
42,295597.20009044185,819424.2953862017,132.0
