node_number,longitude,latitude,Mar-89,11years,22years,33years,55years,110years,1000years,10000years,100000years,1000000years
127,-3.732108333,57.25354167,17.33355225,4.626325094,13.73857351,15.85153353,18.20542992,21.15906723,30.03731269,39.114894,48.19594202,57.27699004
130,-3.474169444,53.25001667,18.45784131,4.926397846,14.62968502,16.87969588,19.38627073,22.53148689,31.98559321,41.6519647,51.32202777,60.99209083
133,-0.23513,50.97597,22.9616184,6.12845595,18.19937874,20.99840002,24.1165878,28.02924758,39.79018852,51.81518807,63.84477995,75.87437183
136,-3.861916667,56.00741667,21.68418598,5.787509239,17.18688581,19.83018808,22.77490054,26.46988583,37.57652589,48.93253409,60.29287913,71.65322416
139,-3.861916667,56.00741667,0,0,0,0,0,0,0,0,0,0
142,-1.23109,50.88487,25.06395249,6.689568918,19.86568874,22.92098455,26.3246693,30.5955668,43.43332326,56.55931518,69.69031989,82.82132459
145,0.57652,51.86474,20.4535497,5.459052415,16.21148349,18.7047712,21.48236325,24.96764812,35.44395628,46.15548025,56.87109494,67.58670963
148,-4.381,55.8807,8.083225604,2.157412914,6.406764614,7.392109815,8.489811852,9.867193495,14.00742165,18.2406069,22.47540879,26.71021069
151,-1.86632,53.81031,32.28096677,8.61579003,25.58589426,29.52094411,33.9046994,39.40537613,55.93968731,72.84522961,89.7572281,106.6692266
154,-1.86632,53.81031,0,0,0,0,0,0,0,0,0,0
157,-3.888444444,56.11042778,21.89696225,5.844299224,17.35553228,20.02477198,22.99837945,26.72962182,37.94524588,49.41268501,60.88450353,72.35632205
160,-2.12935,53.41484,3.677139179,0.981428447,2.914500513,3.362743779,3.862099279,4.488683795,6.372114483,8.29783227,10.22428549,12.1507387
163,1.062026,52.073123,45.53499691,12.15329068,36.09103855,41.64175468,47.82540726,55.58457073,78.90759615,102.754274,126.6100589,150.4658438
166,-2.55655,56.72038,4.548485786,1.213990856,3.605129834,4.159590251,4.777274621,5.552336598,7.882071018,10.26411302,12.64706473,15.03001643
169,-0.023346,51.664261,9.615738997,2.566440738,7.621434729,8.793593313,10.09941067,11.73793259,16.66311411,21.69887662,26.73656228,31.77424794
172,-1.35002,53.40147,4.104043292,1.095369155,3.252864713,3.753147591,4.31047667,5.009805647,7.111896621,9.261184093,11.41129237,13.56140065
175,-1.07695,51.33545,13.59201789,3.627709575,10.77303338,12.42990036,14.27569639,16.59177624,23.5536078,30.67174757,37.79260574,44.91346391
178,-5.9358,57.2479,5.219263672,1.393021474,4.136788387,4.773016628,5.481792635,6.371155165,9.044462018,11.7777904,14.51216264,17.24653488
181,-3.8747,58.0199,12.97333956,3.462584328,10.28266893,11.86411903,13.62589854,15.8365556,22.48150012,29.27563804,36.07237064,42.86910323
184,-3.4534,55.9193,13.60782154,3.631927568,10.78555935,12.4443528,14.29229496,16.61106775,23.58099394,30.70741008,37.83654778,44.96568549
187,-2.96861,51.11747,6.271527634,1.673870726,4.970812803,5.735312021,6.586985474,7.655653783,10.86793024,14.15232926,17.43798259,20.72363591
190,-3.4875,56.39667,15.31828286,4.088449694,12.14127099,14.00856967,16.08879248,18.69902788,26.54505236,34.56723709,42.59248548,50.61773387
193,0.31174,52.2803,24.14470471,6.444221688,19.13709295,22.08033246,25.35918336,29.47344104,41.84035879,54.48494065,67.13435145,79.78376225
196,-2.114,52.63718,7.513399864,2.005326424,5.955120732,6.871004176,7.891323877,9.171607214,13.01997062,16.95473813,20.89100832,24.82727851
199,-1.961768,52.553283,15.22475589,4.063487348,12.06714152,13.92303926,15.99056112,18.58485952,26.38297949,34.35618415,42.33243376,50.30868337
202,-1.961768,52.553283,0,0,0,0,0,0,0,0,0,0
205,-5.50231,55.59024,24.92814111,6.653320861,19.75804464,22.79678504,26.1820266,30.42978185,43.19797572,56.25284322,69.31269635,82.37254947
208,-4.18929,55.14348,11.52108503,3.074977595,9.131611995,10.53603226,12.10059561,14.0637885,19.96488825,25.99848048,32.03437693,38.07027337
211,-2.8493,57.452,7.732125596,2.063704322,6.128482748,7.071028858,8.121051514,9.438605715,13.39900045,17.44831462,21.49917522,25.55003582
214,1.094856,51.292304,35.89368688,9.580025027,28.44933622,32.82477665,37.69913933,43.81542357,62.20016999,80.9976938,99.80239636,118.6070989
217,-2.946181,53.267805,23.65921241,6.314643792,18.75229176,21.63634975,24.84927079,28.88080059,40.99904919,53.38937873,65.78444011,78.17950149
